x=0.495783, y=-2.10433, z=-0.342418
x=0.503562, y=-2.10439, z=-0.342713
x=0.515258, y=-2.10449, z=-0.343163
x=0.52698, y=-2.10458, z=-0.343623
x=0.534813, y=-2.10464, z=-0.343936
x=0.542661, y=-2.1047, z=-0.344253
x=0.553939, y=-2.1028, z=-0.344414
x=0.565746, y=-2.10285, z=-0.344901
x=3.2969, y=-2.10184, z=-0.342071
x=3.29265, y=-2.08299, z=-0.340873
x=3.29414, y=-2.06786, z=-0.340278
x=-1.91394, y=-2.05432, z=-0.344747
x=-1.89945, y=-2.0531, z=-0.343426
x=-1.88864, y=-2.05577, z=-0.342768
x=-1.87425, y=-2.05446, z=-0.341456
x=-1.85993, y=-2.05312, z=-0.340151
x=-0.721403, y=-2.05301, z=-0.344655
x=-0.713384, y=-2.05309, z=-0.344247
x=-0.705382, y=-2.05316, z=-0.343844
x=-0.697397, y=-2.05322, z=-0.343445
x=-0.685451, y=-2.05331, z=-0.342855
x=-0.673538, y=-2.05338, z=-0.342273
x=-0.665618, y=-2.05343, z=-0.34189
x=-0.654126, y=-2.05461, z=-0.341512
x=-0.642649, y=-2.05575, z=-0.341138
x=-0.634776, y=-2.05575, z=-0.340768
x=-0.626919, y=-2.05575, z=-0.340402
x=-0.619077, y=-2.05574, z=-0.340041
x=0.622657, y=-2.05466, z=-0.340041
x=0.634427, y=-2.05465, z=-0.340586
x=0.646229, y=-2.05464, z=-0.341138
x=0.654117, y=-2.05462, z=-0.341512
x=0.662022, y=-2.05459, z=-0.341891
x=3.42167, y=-2.0169, z=-0.347492
x=-1.96388, y=-2.00722, z=-0.344799
x=-1.94935, y=-2.00633, z=-0.343474
x=-1.93487, y=-2.0054, z=-0.342156
x=-1.92415, y=-2.00828, z=-0.341498
x=-1.90977, y=-2.00726, z=-0.340188
x=-0.842191, y=-2.00714, z=-0.344751
x=-0.834044, y=-2.00735, z=-0.344284
x=-0.825914, y=-2.00754, z=-0.34382
x=-0.817802, y=-2.00773, z=-0.34336
x=-0.80567, y=-2.00798, z=-0.342678
x=-0.793573, y=-2.00822, z=-0.342003
x=-0.785532, y=-2.00836, z=-0.341559
x=-0.777508, y=-2.0085, z=-0.341118
x=-0.765506, y=-2.00868, z=-0.340464
x=3.4229, y=-2.00155, z=-0.346905
x=3.42409, y=-1.98623, z=-0.346321
x=3.42525, y=-1.97094, z=-0.345739
x=-1.95962, y=-1.96132, z=-0.340422
x=-0.9344, y=-1.96215, z=-0.344214
x=-0.922064, y=-1.96268, z=-0.343453
x=-0.913864, y=-1.96301, z=-0.34295
x=-0.905681, y=-1.96332, z=-0.342451
x=-0.897518, y=-1.96363, z=-0.341955
x=-0.888098, y=-1.96111, z=-0.340974
x=-0.875944, y=-1.96154, z=-0.340248
x=3.42637, y=-1.95569, z=-0.345161
x=3.42176, y=-1.93725, z=-0.344013
x=-1.02802, y=-1.92001, z=-0.344946
x=-0.968598, y=-1.92041, z=-0.340661
x=3.42283, y=-1.9221, z=-0.343444
x=-1.01808, y=-1.91751, z=-0.343856
x=-1.00565, y=-1.91829, z=-0.343047
x=-0.99326, y=-1.91904, z=-0.342244
x=-0.985022, y=-1.91951, z=-0.341713
x=-0.976801, y=-1.91997, z=-0.341186
x=2.00608, y=-1.9187, z=-0.34084
x=2.05597, y=-1.91214, z=-0.344744
x=2.00891, y=-1.90801, z=-0.340186
x=3.42386, y=-1.90698, z=-0.342877
x=2.05474, y=-1.89765, z=-0.343424
x=3.42487, y=-1.8919, z=-0.342314
x=2.05346, y=-1.88322, z=-0.342109
x=-1.09495, y=-1.87626, z=-0.344071
x=-1.08241, y=-1.87731, z=-0.343219
x=-1.07408, y=-1.87798, z=-0.342654
x=-1.06576, y=-1.87864, z=-0.342093
x=-1.05747, y=-1.87928, z=-0.341534
x=-1.04749, y=-1.87685, z=-0.340426
x=2.05608, y=-1.87245, z=-0.341454
x=3.42584, y=-1.87685, z=-0.341754
x=2.10311, y=-1.8622, z=-0.344909
x=3.42677, y=-1.86183, z=-0.341196
x=2.05472, y=-1.85813, z=-0.340149
x=2.10557, y=-1.8513, z=-0.344251
x=3.42213, y=-1.84386, z=-0.340091
x=-1.157, y=-1.83956, z=-0.344194
x=-1.14662, y=-1.83727, z=-0.343015
x=-1.13825, y=-1.83812, z=-0.342429
x=-1.12573, y=-1.83936, z=-0.341557
x=-1.11137, y=-1.83744, z=-0.340114
x=2.10398, y=-1.83691, z=-0.34294
x=2.10236, y=-1.82259, z=-0.341635
x=2.1047, y=-1.81179, z=-0.340986
x=-1.21285, y=-1.80022, z=-0.343799
x=-1.20442, y=-1.80126, z=-0.343193
x=-1.18555, y=-1.80012, z=-0.341389
x=-1.1772, y=-1.8011, z=-0.340793
x=-1.16886, y=-1.80206, z=-0.3402
x=2.15689, y=-1.80488, z=-0.345323
x=-1.19392, y=-1.79912, z=-0.341988
x=2.15501, y=-1.79054, z=-0.344018
x=2.15717, y=-1.77963, z=-0.343368
x=-1.27078, y=-1.76393, z=-0.344329
x=-1.26233, y=-1.76516, z=-0.343708
x=-1.25164, y=-1.7632, z=-0.342471
x=-1.24324, y=-1.76439, z=-0.341857
x=-1.23485, y=-1.76555, z=-0.341244
x=-1.22429, y=-1.76353, z=-0.340026
x=-0.171433, y=-1.76323, z=-0.344353
x=-0.165216, y=-1.7632, z=-0.344232
x=-0.155951, y=-1.76374, z=-0.344175
x=-0.143535, y=-1.76366, z=-0.343953
x=-0.134233, y=-1.7636, z=-0.3438
x=-0.124941, y=-1.76355, z=-0.343659
x=-0.115656, y=-1.76352, z=-0.343528
x=-0.106379, y=-1.76349, z=-0.34341
x=-0.0940381, y=-1.76381, z=-0.343337
x=-0.0847714, y=-1.76377, z=-0.343236
x=-0.0755108, y=-1.76373, z=-0.343148
x=-0.0631705, y=-1.7637, z=-0.343048
x=-0.0539198, y=-1.76368, z=-0.342985
x=-0.0446747, y=-1.76376, z=-0.342949
x=-0.035431, y=-1.76381, z=-0.342919
x=-0.0261875, y=-1.76379, z=-0.342884
x=-0.0138653, y=-1.76377, z=-0.342853
x=-0.00462472, y=-1.76377, z=-0.342843
x=0.00461557, y=-1.76378, z=-0.342846
x=0.0138562, y=-1.7638, z=-0.342859
x=0.0230969, y=-1.76374, z=-0.342866
x=0.0354205, y=-1.76375, z=-0.342906
x=0.0446656, y=-1.76376, z=-0.342949
x=0.0539139, y=-1.76378, z=-0.343005
x=0.0662504, y=-1.76383, z=-0.343095
x=0.0754954, y=-1.76359, z=-0.343121
x=0.0847549, y=-1.76361, z=-0.343206
x=0.0940191, y=-1.76363, z=-0.343302
x=0.10329, y=-1.76367, z=-0.34341
x=0.115661, y=-1.76373, z=-0.343571
x=0.124948, y=-1.76379, z=-0.343705
x=0.134224, y=-1.7636, z=-0.3438
x=0.146605, y=-1.7634, z=-0.343954
x=0.155915, y=-1.76345, z=-0.344117
x=0.165236, y=-1.76351, z=-0.344293
x=2.15522, y=-1.76541, z=-0.342074
x=3.56315, y=-1.76217, z=-0.347774
x=2.1573, y=-1.75456, z=-0.341429
x=2.15528, y=-1.74045, z=-0.340146
x=3.56381, y=-1.74703, z=-0.347241
x=-1.31183, y=-1.7301, z=-0.343885
x=2.20875, y=-1.73322, z=-0.34473
x=3.56443, y=-1.73192, z=-0.34671
x=-1.301, y=-1.72832, z=-0.342626
x=-1.29258, y=-1.72969, z=-0.342
x=-1.28185, y=-1.72787, z=-0.340753
x=-1.27348, y=-1.72919, z=-0.340134
x=-0.385174, y=-1.72925, z=-0.344369
x=-0.375662, y=-1.72918, z=-0.343959
x=-0.36617, y=-1.72911, z=-0.343558
x=-0.356702, y=-1.72904, z=-0.343168
x=-0.34411, y=-1.72895, z=-0.342665
x=-0.334689, y=-1.72888, z=-0.342298
x=-0.32529, y=-1.72881, z=-0.341944
x=-0.315909, y=-1.72875, z=-0.341599
x=-0.306549, y=-1.72869, z=-0.341266
x=-0.29428, y=-1.72969, z=-0.341049
x=-0.284949, y=-1.7296, z=-0.340732
x=-0.275637, y=-1.72952, z=-0.340427
x=-0.266341, y=-1.72944, z=-0.340132
x=0.269352, y=-1.72898, z=-0.340132
x=0.275547, y=-1.72902, z=-0.340328
x=0.284855, y=-1.72908, z=-0.34063
x=0.294178, y=-1.72915, z=-0.340942
x=0.303521, y=-1.72923, z=-0.341266
x=0.316007, y=-1.72933, z=-0.341713
x=0.325392, y=-1.72941, z=-0.342061
x=0.334799, y=-1.72949, z=-0.34242
x=0.343977, y=-1.72833, z=-0.342541
x=0.353412, y=-1.72838, z=-0.342914
x=0.366023, y=-1.72845, z=-0.343428
x=0.375505, y=-1.72851, z=-0.343824
x=0.38184, y=-1.72854, z=-0.344094
x=2.21066, y=-1.72227, z=-0.344087
x=2.21253, y=-1.71135, z=-0.343446
x=3.56503, y=-1.71685, z=-0.346183
x=3.56561, y=-1.70181, z=-0.345659
x=-1.35284, y=-1.6964, z=-0.343659
x=-1.34191, y=-1.69481, z=-0.342385
x=-1.33351, y=-1.69634, z=-0.341751
x=-1.32268, y=-1.69471, z=-0.340489
x=-0.510672, y=-1.69576, z=-0.344245
x=-0.504222, y=-1.69578, z=-0.343888
x=-0.494572, y=-1.69578, z=-0.34336
x=-0.484946, y=-1.69579, z=-0.342841
x=-0.475351, y=-1.69579, z=-0.342333
x=-0.465779, y=-1.69578, z=-0.341833
x=-0.456236, y=-1.69576, z=-0.341345
x=-0.44355, y=-1.69574, z=-0.340708
x=-0.434064, y=-1.69572, z=-0.340241
x=0.434255, y=-1.69649, z=-0.340396
x=0.446503, y=-1.69497, z=-0.340708
